id,program,title,link,upvotes,bounty,vuln_type,date
2582,Slack,Session Fixation disclosing email address,hackerone.com/reports/2582,7,0.0,Information Disclosure,2014-03-31
2584,HackerOne,Weird Bug - Ability to see partial of other user's notification,hackerone.com/reports/2584,8,0.0,,2014-04-19
2617,Slack,Stored XSS in www.slack-files.com,hackerone.com/reports/2617,8,0.0,Cross-site Scripting (XSS) - Generic,2014-05-23
2622,Slack,URL redirection flaw,hackerone.com/reports/2622,5,0.0,Open Redirect,2014-08-30
2625,Slack,Stored XSS in username.slack.com,hackerone.com/reports/2625,4,0.0,Cross-site Scripting (XSS) - Generic,2014-08-07
2628,Slack,CSRF vulnerability on https://sehacure.slack.com/account/settings,hackerone.com/reports/2628,5,0.0,Cross-Site Request Forgery (CSRF),2014-07-26
2635,Slack,csrf,hackerone.com/reports/2635,4,0.0,Cross-Site Request Forgery (CSRF),2014-04-06
2638,Slack,CSRF on add comment section,hackerone.com/reports/2638,2,0.0,Cross-Site Request Forgery (CSRF),2014-04-12
2639,Slack,Stored XSS on this link https://sehacure.slack.com/help/requests/,hackerone.com/reports/2639,6,0.0,Cross-site Scripting (XSS) - Generic,2014-08-30
2652,Slack,Stored XSS in Channel Chat ,hackerone.com/reports/2652,3,0.0,Cross-site Scripting (XSS) - Generic,2014-05-21
2688,Slack,State parameter missing on google OAuth,hackerone.com/reports/2688,6,0.0,Cross-Site Request Forgery (CSRF),2014-04-06
2731,Slack,Open redirect vulnerability ,hackerone.com/reports/2731,11,0.0,Open Redirect,2014-04-06
2735,RelateIQ,"HTML injection in ""Invite Collaborators""",hackerone.com/reports/2735,9,0.0,Cross-site Scripting (XSS) - Generic,2014-04-06
2746,Slack,Data exports stored on S3 can be scraped easily,hackerone.com/reports/2746,9,0.0,Improper Authentication - Generic,2014-12-09
2766,Slack,Email enumeration,hackerone.com/reports/2766,8,0.0,Information Disclosure,2014-04-02
2777,Slack,Reflected Xss,hackerone.com/reports/2777,3,500.0,Cross-site Scripting (XSS) - Generic,2014-05-19
2857,Phabricator,CSRF token valid even after the session logout of a particular user,hackerone.com/reports/2857,2,0.0,Cross-Site Request Forgery (CSRF),2014-06-26
2926,Slack,Stored XSS ,hackerone.com/reports/2926,4,0.0,Cross-site Scripting (XSS) - Generic,2014-04-06
2975,Slack,Deleting Teams implemenation,hackerone.com/reports/2975,2,0.0,Improper Authentication - Generic,2014-08-21
2979,Slack,Content Spoofing,hackerone.com/reports/2979,3,0.0,Violation of Secure Design Principles,2014-08-11
3227,HackerOne,Control Characters Not Stripped From Username on Signup,hackerone.com/reports/3227,14,0.0,Violation of Secure Design Principles,2014-03-11
3356,Phabricator,UnAuthorized Editorial Publishing to Blogs,hackerone.com/reports/3356,7,300.0,Improper Authentication - Generic,2014-04-05
3370,Ruby on Rails,Directory traversal attack in view resolver,hackerone.com/reports/3370,8,0.0,Information Disclosure,2015-07-09
3432,RelateIQ,RelateIQ GWT based application visible to unauthenticated users,hackerone.com/reports/3432,3,0.0,Information Disclosure,2014-04-11
3441,RelateIQ,Captcha Bypass With Extension,hackerone.com/reports/3441,4,0.0,Cryptographic Issues - Generic,2014-04-20
3455,Slack,flash content type sniff vulnerability in api.slack.com,hackerone.com/reports/3455,2,0.0,Cross-Site Request Forgery (CSRF),2014-04-08
3596,Phabricator,OAuth access_token stealing in Phabricator,hackerone.com/reports/3596,9,450.0,Open Redirect,2014-04-11
3709,HackerOne,Criptographic Issue: Strisct Transport Security with not good max age..(TOO SHORT!),hackerone.com/reports/3709,4,0.0,Cryptographic Issues - Generic,2014-04-22
3722,Slack,User impersonation is possible with incoming webhooks,hackerone.com/reports/3722,3,0.0,Violation of Secure Design Principles,2014-04-10
3921,Phabricator,Control character allowed in username,hackerone.com/reports/3921,8,300.0,,2014-04-12
3923,HackerOne,Adding an user email address to the list before confirming.,hackerone.com/reports/3923,8,0.0,Violation of Secure Design Principles,2014-06-11
3930,Phabricator,OAuth Stealing Attack (New),hackerone.com/reports/3930,10,400.0,Open Redirect,2014-04-13
3986,HackerOne,Securing sensitive pages from SearchBots,hackerone.com/reports/3986,6,100.0,Violation of Secure Design Principles,2014-04-20
3991,HackerOne,Accepting Invalid characters on email address,hackerone.com/reports/3991,7,0.0,Violation of Secure Design Principles,2016-04-25
4114,Phabricator,Persistent XSS: Editor link,hackerone.com/reports/4114,8,300.0,Cross-site Scripting (XSS) - Generic,2014-04-16
4184,HackerOne,javascript: and mailto: links are allowed on users' profiles,hackerone.com/reports/4184,8,0.0,Cross-site Scripting (XSS) - Generic,2015-05-13
4276,MoneyStream,Here is another XSS i got for you,hackerone.com/reports/4276,7,0.0,Cross-site Scripting (XSS) - Generic,2014-08-06
4409,RelateIQ,TRACE disclosure attack may be possible,hackerone.com/reports/4409,6,0.0,Information Disclosure,2014-07-25
4549,Slack,Open Redirect in Slack,hackerone.com/reports/4549,2,0.0,Open Redirect,2014-05-21
4561,Slack,Stored XSS in Slackbot Direct Messages,hackerone.com/reports/4561,8,0.0,Cross-site Scripting (XSS) - Generic,2014-05-04
4638,Slack,Duplicate of #4550,hackerone.com/reports/4638,3,0.0,,2014-05-21
4689,Internet Bug Bounty,SPDY memory corruption,hackerone.com/reports/4689,18,0.0,,2014-03-24
4690,Internet Bug Bounty,SPDY heap buffer overflow,hackerone.com/reports/4690,14,0.0,,2014-03-24
4777,Concrete CMS,XSS in Theme Preview Tools File,hackerone.com/reports/4777,2,0.0,Cross-site Scripting (XSS) - Generic,2014-08-28
4792,Concrete CMS,HttpOnly flag not set for cookie on concrete5.org,hackerone.com/reports/4792,10,0.0,Violation of Secure Design Principles,2014-04-16
4795,Concrete CMS,Bypass auth.email-domains,hackerone.com/reports/4795,11,0.0,Improper Authentication - Generic,2014-04-30
4808,Concrete CMS,/index.php/dashboard/sitemap/explore/ Cross-site scripting,hackerone.com/reports/4808,4,0.0,Cross-site Scripting (XSS) - Generic,2014-06-09
4811,Concrete CMS,dashboard/pages/types [Unknown column 'Array' in 'where clause'] disclosure.,hackerone.com/reports/4811,2,0.0,Information Disclosure,2014-06-09
4826,Concrete CMS,XSS in private message,hackerone.com/reports/4826,7,0.0,Cross-site Scripting (XSS) - Generic,2014-05-14
4839,Concrete CMS,XSS IN member List (Because of City Textbox),hackerone.com/reports/4839,6,0.0,Cross-site Scripting (XSS) - Generic,2014-04-16
4931,Concrete CMS,CONCRETE5 - path disclosure.,hackerone.com/reports/4931,2,0.0,Information Disclosure,2014-06-09
4938,Concrete CMS,page_controls_menu_js can reveal collection version of page,hackerone.com/reports/4938,4,0.0,Information Disclosure,2014-03-31
5073,Coinbase,Information Disclosure That shows the webroot of CoinBase Server,hackerone.com/reports/5073,3,0.0,Information Disclosure,2014-05-04
5199,Coinbase,Improper Validation of the Referrer header leading to Open URL Redirection,hackerone.com/reports/5199,2,0.0,Open Redirect,2014-04-29
5200,Coinbase,"User Enumeration, Information Disclosure and Lack of Rate Limitation on API",hackerone.com/reports/5200,4,0.0,Violation of Secure Design Principles,2014-03-31
5204,Coinbase, Cookie missing the HttpOnly flag  ,hackerone.com/reports/5204,2,0.0,,2014-04-30
5205,Coinbase,IFRAME loaded from External Domains  ,hackerone.com/reports/5205,2,0.0,,2014-04-30
5314,Coinbase,Coinbase Android Application - Bitcoin Wallet Leaks OAuth Response Code,hackerone.com/reports/5314,14,0.0,Information Disclosure,2014-11-26
5426,MS-DOS,CRITICAL BUG!,hackerone.com/reports/5426,5,0.0,Violation of Secure Design Principles,2014-04-01
5437,MS-DOS,Please contact me @sehacure otherwise i am going to disclose in Full disclosure mailing list :p ,hackerone.com/reports/5437,10,0.0,Uncontrolled Resource Consumption,2014-04-02
5441,MS-DOS,Hack administrator password even if you are a guest,hackerone.com/reports/5441,7,0.0,Improper Authentication - Generic,2014-04-01
5466,MS-DOS,Bug in Source Code Files(v1.1),hackerone.com/reports/5466,6,0.0,Memory Corruption - Generic,2014-04-01
5499,MS-DOS,Arbitrary command execution in MS-DOS,hackerone.com/reports/5499,5,0.0,Command Injection - Generic,2014-04-01
5534,MS-DOS,Permanent Denial of Service ,hackerone.com/reports/5534,19,0.0,Uncontrolled Resource Consumption,2014-04-01
5549,MS-DOS,History Disclosure of MS-Dos,hackerone.com/reports/5549,3,0.0,Information Disclosure,2014-07-20
5559,MS-DOS,Injecting Distrust and Disbelief in Addicted Gamers ,hackerone.com/reports/5559,3,0.0,,2014-06-04
5596,MS-DOS,एमएस  डॉस प्राणघाती है।  ,hackerone.com/reports/5596,5,0.0,Improper Authentication - Generic,2014-04-04
5617,Slack,TLS1/SSLv3 Renegotiation Vulnerability,hackerone.com/reports/5617,2,0.0,,2014-08-14
5654,C2FO,OPTIONS Method Enabled,hackerone.com/reports/5654,4,0.0,,2014-04-07
5688,C2FO,User guessing/enumeration at  https://app.c2fo.com/api/password-reset,hackerone.com/reports/5688,4,0.0,Information Disclosure,2014-05-19
5691,C2FO,Password reset token leakage through referrer at https://app.c2fo.com/password/reset/,hackerone.com/reports/5691,4,0.0,Information Disclosure,2014-04-15
5786,Coinbase,Coinbase Android Security Vulnerabilities,hackerone.com/reports/5786,9,0.0,Cryptographic Issues - Generic,2014-05-07
5928,Internet Bug Bounty,Uncontrolled Resource Consumption with XMPP-Layer Compression,hackerone.com/reports/5928,3,500.0,Uncontrolled Resource Consumption,2014-04-20
5933,Coinbase,Multiple Issues related to registering applications,hackerone.com/reports/5933,3,1000.0,Violation of Secure Design Principles,2014-05-29
5946,HackerOne,Marking notifications as read CSRF bug,hackerone.com/reports/5946,4,0.0,Cross-Site Request Forgery (CSRF),2015-04-28
6002,Slack,Stored XSS in Slack.com,hackerone.com/reports/6002,5,0.0,Cross-site Scripting (XSS) - Generic,2015-03-09
6017,Slack,Facebook Takeover using Slack using 302 from files.slack.com with access_token,hackerone.com/reports/6017,17,0.0,Open Redirect,2015-01-11
6035,Slack,open redirect in https://slack.com,hackerone.com/reports/6035,2,0.0,Open Redirect,2014-05-31
6344,Khan Academy,http://smarthistory.khanacademy.org/search-results.html XSS,hackerone.com/reports/6344,4,0.0,Cross-site Scripting (XSS) - Generic,2014-04-09
6350,HackerOne,creating titleless and non-closable bugs ,hackerone.com/reports/6350,6,0.0,,2014-04-17
6352,Khan Academy,Dom based XSS https://www.khanacademy.org/,hackerone.com/reports/6352,4,0.0,Cross-site Scripting (XSS) - Generic,2014-04-09
6353,RelateIQ,Wildcard DNS in website,hackerone.com/reports/6353,7,0.0,Violation of Secure Design Principles,2014-06-01
6357,Khan Academy,https://www.khanacademy.org/login open-redirect,hackerone.com/reports/6357,3,0.0,Open Redirect,2014-04-09
6362,Khan Academy,Full Path Disclosure on [smarthistory.khanacademy.org],hackerone.com/reports/6362,3,0.0,Information Disclosure,2014-04-11
6369,Khan Academy,Stored XSS {dangerous?} https://www.khanacademy.org/coach/roster/?listId=allStudents,hackerone.com/reports/6369,4,0.0,Cross-site Scripting (XSS) - Generic,2014-04-09
6370,Khan Academy,Possible clickjacking at shop.khanacademy.org,hackerone.com/reports/6370,2,0.0,UI Redressing (Clickjacking),2014-05-08
6371,Khan Academy,Lighttpd version disclosure / directory listing,hackerone.com/reports/6371,4,0.0,Information Disclosure,2014-04-12
6376,Khan Academy,User guessing/enumeration at sw.khanacademy.org,hackerone.com/reports/6376,3,0.0,Information Disclosure,2014-04-15
6378,Khan Academy,CSRF - Adding/Removing items to cart - shop.khanacademy.org,hackerone.com/reports/6378,4,0.0,Cross-Site Request Forgery (CSRF),2014-05-08
6380,Internet Bug Bounty,Same Origin Security Bypass Vulnerability,hackerone.com/reports/6380,3,2000.0,,2014-03-11
6389,Internet Bug Bounty,Integer overflow in strop.expandtabs,hackerone.com/reports/6389,4,0.0,,2014-03-31
6409,Khan Academy,https://www.khanacademy.org/coach/reports/activity XSS,hackerone.com/reports/6409,3,0.0,Cross-site Scripting (XSS) - Generic,2014-04-09
6412,Khan Academy,Persistent class XSS [the fuck],hackerone.com/reports/6412,5,0.0,Cross-site Scripting (XSS) - Generic,2014-04-09
6475,Concrete CMS,https://concrete5.org ::: HeartBleed Attack (CVE-2014-0160),hackerone.com/reports/6475,3,0.0,Information Disclosure,2014-04-09
6488,Khan Academy,Weak Ciphers Enabled,hackerone.com/reports/6488,10,0.0,Information Disclosure,2014-04-09
6491,C2FO,c2fo.com is releasing sensitive Information about Database Configuration.,hackerone.com/reports/6491,4,0.0,Information Disclosure,2014-05-08
6504,ReddAPI,Session Fixation Found,hackerone.com/reports/6504,5,0.0,,2014-04-20
6547,HackerOne,(lack of) smtp transport layer security,hackerone.com/reports/6547,4,0.0,Cryptographic Issues - Generic,2015-05-05
6564,Khan Academy,Open Redirection in SmartHistory KhanAcademy,hackerone.com/reports/6564,5,0.0,Open Redirect,2014-04-09
6574,ReddAPI,Login page password-guessing attack,hackerone.com/reports/6574,6,0.0,,2014-05-09
6575,Khan Academy,XSS at  http://smarthistory.khanacademy.org,hackerone.com/reports/6575,7,0.0,Cross-site Scripting (XSS) - Generic,2014-04-09
6626,Internet Bug Bounty,TLS heartbeat read overrun,hackerone.com/reports/6626,10,0.0,,2014-04-07
6697,ReddAPI,No Captcha or rate limit on Login Page,hackerone.com/reports/6697,7,0.0,Improper Authentication - Generic,2014-04-23
6794,C2FO,The server supports only older protocols for HTTPS connections,hackerone.com/reports/6794,2,0.0,Cryptographic Issues - Generic,2014-05-15
6826,Faceless,Blocking yourself,hackerone.com/reports/6826,2,0.0,Violation of Secure Design Principles,2014-04-11
6843,Concrete CMS,Cross-Site Scripting in getMarketplacePurchaseFrame,hackerone.com/reports/6843,2,0.0,Cross-site Scripting (XSS) - Generic,2014-08-18
6853,Concrete CMS,XSS on [/concrete/concrete/elements/dashboard/sitemap.php],hackerone.com/reports/6853,6,0.0,Cross-site Scripting (XSS) - Generic,2014-08-28
6871,IRCCloud,Login CSRF,hackerone.com/reports/6871,2,100.0,Cross-Site Request Forgery (CSRF),2014-04-21
6872,IRCCloud,Sign up CSRF,hackerone.com/reports/6872,4,100.0,Cross-Site Request Forgery (CSRF),2014-05-14
6877,IRCCloud,"Unsecure cookies, cookie flag secure not set",hackerone.com/reports/6877,3,100.0,Violation of Secure Design Principles,2014-05-15
6883,IRCCloud,Bruteforcing irccloud login,hackerone.com/reports/6883,3,100.0,Violation of Secure Design Principles,2014-05-26
6884,IRCCloud,Leaking Referrer in Reset Password Link,hackerone.com/reports/6884,5,100.0,Violation of Secure Design Principles,2014-04-12
6888,IRCCloud,HTML Form without CSRF protection,hackerone.com/reports/6888,3,0.0,Cross-Site Request Forgery (CSRF),2014-05-14
6907,IRCCloud,Session Token is not Verified while changing Account Setting's which Result In account Takeover,hackerone.com/reports/6907,5,0.0,Cross-Site Request Forgery (CSRF),2014-04-23
6910,IRCCloud,Full account takeover using CSRF and password reset,hackerone.com/reports/6910,16,0.0,Cross-Site Request Forgery (CSRF),2014-04-14
6927,IRCCloud,Session cookie can be leaked over an unencrypted HTTP connection,hackerone.com/reports/6927,1,0.0,Violation of Secure Design Principles,2014-05-15
6935,IRCCloud,Missing X-Content-Type-Options,hackerone.com/reports/6935,6,0.0,Violation of Secure Design Principles,2014-05-15
7033,IRCCloud,"""SESSION""  Cookie without HttpOnly flag set",hackerone.com/reports/7033,5,0.0,Improper Authentication - Generic,2014-05-11
7036,IRCCloud,Bug in iOS application which could lead to unauthorised access.,hackerone.com/reports/7036,6,0.0,Improper Authentication - Generic,2014-05-15
7041,IRCCloud,iOS application does not destroy session upon logout.,hackerone.com/reports/7041,5,0.0,Improper Authentication - Generic,2014-05-22
7051,IRCCloud, User Account Creation CSRF ,hackerone.com/reports/7051,3,0.0,Cross-Site Request Forgery (CSRF),2014-06-25
7085,IRCCloud,DNS Misconfiguration,hackerone.com/reports/7085,5,0.0,,2014-04-11
7116,IRCCloud,CSRF to Account Take Over Bug ,hackerone.com/reports/7116,4,0.0,Cross-Site Request Forgery (CSRF),2014-09-08
7121,IRCCloud,Persistent Cross Site Scripting within the IRCCloud Pastebin ,hackerone.com/reports/7121,3,500.0,Cross-site Scripting (XSS) - Generic,2014-10-01
7226,IRCCloud,Login page password-guessing attack(Brute-force attack-High).,hackerone.com/reports/7226,8,0.0,Improper Authentication - Generic,2014-04-26
7270,Faceless,Bruteforce attack in login panel,hackerone.com/reports/7270,4,0.0,Violation of Secure Design Principles,2014-04-15
7277,Internet Bug Bounty,TLS Triple Handshake Attack,hackerone.com/reports/7277,14,0.0,,2014-03-03
7332,IRCCloud,CSRF - Creating accounts,hackerone.com/reports/7332,1,0.0,Cross-Site Request Forgery (CSRF),2014-05-14
7357,IRCCloud,Host Header is not validated resulting in Open Redirect,hackerone.com/reports/7357,4,100.0,Violation of Secure Design Principles,2014-04-24
7369,Coinbase,2 factor authentication design flaw,hackerone.com/reports/7369,2,0.0,Violation of Secure Design Principles,2014-06-06
7436,IRCCloud,Unwanted Spamming Using CSRF [LOGGED IN USER],hackerone.com/reports/7436,4,0.0,Cross-Site Request Forgery (CSRF),2014-05-17
7441,IRCCloud,Dangerous Persistent xss,hackerone.com/reports/7441,4,0.0,Cross-site Scripting (XSS) - Generic,2014-05-13
7516,IRCCloud,Log Out Cross site Request Forgery,hackerone.com/reports/7516,1,0.0,Cross-Site Request Forgery (CSRF),2014-06-13
7531,IRCCloud,Login CSRF can be bypassed (Similar approach to previous one).,hackerone.com/reports/7531,8,0.0,Cross-Site Request Forgery (CSRF),2014-05-20
7571,Automattic,Simplenote Silverlight cross-domain policy misconfiguration,hackerone.com/reports/7571,1,0.0,Cross-Site Request Forgery (CSRF),2014-05-17
7680,Automattic,Session Cookie without Secure flag set,hackerone.com/reports/7680,2,0.0,,2014-05-21
7736,Concrete CMS,FULL PATH DISCLOSUR ,hackerone.com/reports/7736,6,0.0,Information Disclosure,2014-04-17
7803,Internet Bug Bounty,Security bypass could lead to information disclosure,hackerone.com/reports/7803,3,2000.0,,2014-04-08
7843,Automattic,Session Cookie without Secure flag set,hackerone.com/reports/7843,1,0.0,,2014-05-21
7849,Automattic,HTML form without CSRF protection,hackerone.com/reports/7849,4,0.0,Cross-Site Request Forgery (CSRF),2014-07-08
7862,Localize,ClickJacking,hackerone.com/reports/7862,2,0.0,UI Redressing (Clickjacking),2014-05-17
7863,Localize,HTML Form Without CSRF protection,hackerone.com/reports/7863,3,0.0,Cryptographic Issues - Generic,2014-04-18
7865,Localize,Sign-up Form CSRF,hackerone.com/reports/7865,9,0.0,Cross-Site Request Forgery (CSRF),2014-04-18
7868,Localize,XSS in Groups,hackerone.com/reports/7868,10,0.0,Cross-site Scripting (XSS) - Generic,2014-04-18
7869,Localize,No BruteForce Protection,hackerone.com/reports/7869,2,0.0,Cryptographic Issues - Generic,2014-04-22
7870,Localize,Change user settings through CSRF,hackerone.com/reports/7870,2,0.0,Cross-Site Request Forgery (CSRF),2014-05-18
7873,Localize,Stored XSS,hackerone.com/reports/7873,3,0.0,Cross-site Scripting (XSS) - Generic,2014-04-20
7876,Localize,XSS & HTML injection,hackerone.com/reports/7876,11,0.0,Cross-Site Request Forgery (CSRF),2014-04-18
7882,Localize,XSS in main page,hackerone.com/reports/7882,10,0.0,Cross-site Scripting (XSS) - Generic,2014-04-18
7883,Localize,Password Policy,hackerone.com/reports/7883,2,0.0,Violation of Secure Design Principles,2014-05-18
7886,Localize,XSS in main page (invitation),hackerone.com/reports/7886,7,0.0,Cross-site Scripting (XSS) - Generic,2014-04-18
7887,Localize,XSS in invite approval,hackerone.com/reports/7887,10,0.0,Cross-site Scripting (XSS) - Generic,2014-04-18
7888,Localize,Unexpected array leaks information about the system,hackerone.com/reports/7888,4,0.0,Information Disclosure,2014-04-18
7890,Localize,XSS in Localize.io,hackerone.com/reports/7890,4,0.0,Cross-site Scripting (XSS) - Generic,2014-04-18
7894,Localize,Full path disclosure,hackerone.com/reports/7894,3,0.0,Information Disclosure,2014-04-18
7897,Localize,"HTML/Javascript possible in ""Discussion"" section of reviews",hackerone.com/reports/7897,6,0.0,Cross-site Scripting (XSS) - Generic,2014-04-19
7898,Respondly,Persistent Cross-site scripting vulnerability settings.,hackerone.com/reports/7898,2,0.0,Cross-site Scripting (XSS) - Generic,2014-04-21
7900,Respondly,OAuth open redirect,hackerone.com/reports/7900,8,0.0,Open Redirect,2014-04-22
7903,Localize,Path Disclosure (Info Disclosure) in  http://www.localize.io,hackerone.com/reports/7903,4,0.0,Information Disclosure,2014-04-18
7909,Localize,Business logic Failure - Browser cache management and logout vulnerability.,hackerone.com/reports/7909,13,0.0,Improper Authentication - Generic,2014-05-18
7913,Respondly,Import emails from Gmail are activate XSS,hackerone.com/reports/7913,2,0.0,Cross-site Scripting (XSS) - Generic,2014-04-21
7914,Localize,Server header - information disclosure ,hackerone.com/reports/7914,3,0.0,Information Disclosure,2014-05-19
7915,Localize,Uninitialized variable error message leaks information ,hackerone.com/reports/7915,4,0.0,Information Disclosure,2014-04-18
7916,Localize,No Cross-Site Request Forgery protection at multiple locations,hackerone.com/reports/7916,3,0.0,Cross-Site Request Forgery (CSRF),2014-04-18
7917,Respondly,"Find, private notes Cross-site scripting.",hackerone.com/reports/7917,2,0.0,Cross-site Scripting (XSS) - Generic,2014-04-21
